Id:ID,name,quantity,unit,calorie,sugar,carbs,protein
401,LukeWarm Water,2,Glass,0,0,0,0
402,black coffee,1,Cup,0,0,0,0.3
403,Lemon Water,1,Glass,0,0.1,0,0
404,Idli Sambhar,1,Plate,0,0.3,0,4.3
405,Multi grain Bread,4,Slices,0,1.7,0,3.4
406,Fresh fruits,3,Servings,0,16.3,0,1.4
407,dry fruits,4,Piece,0,50.8,0,1.4
408,green tea,1,Cup,0,0,0,0.5
409,Salad,2,Servings,0,2.2,0,1.5
410,Multigrain Chapati,2,Medium,0,1.2,0,3.1
411,Mix Daal,1,Bowl,0,4.5,0,14.2
412,mixed-vegetable curry,1,Bowl,0,2,0,28.3
413,brown rice,1,Bowl,0,0,0,2.3
414,Chickpea curry,1,Bowl,0,9.5,0,9.7
415,Mix Veg Soup,1,Bowl,0,4,0,3.7
416,Palak Paneer Pulao,1,Servings,0,4.8,0,17.5
417,chicken curry with mixed vegetables,1,Servings,0,4.6,0,30.1
418,Mix Veg Khichdi ,1,Servings,0,5.2,0,8.2
419,errrr,1,Servings,0,10,0,10
420,LukeWarm Water,2,Glass,0,0,0,0
421,Lemon Honey Water,1,Glass,0,17.4,0,0.1
422,Juice,1,Glass,0,28.9,0,0.3
423,black coffee,1,Cup,0,0,0,0.3
424,Lemon Water,1,Glass,0,0.1,0,0
425,Idli Sambhar,1,Plate,0,0.3,0,4.3
426,Multi grain Bread,2,Slices,0,1.7,0,3.4
427,Fresh fruits,4,Servings,0,16.3,0,1.4
428,eggs,2,Piece,0,0.2,0,6.3
429,dry fruits,10,Piece,0,50.8,0,1.4
430,green tea,1,Cup,0,0,0,0.5
431,flex seeds,1,Tablespoon,0,,0,
432,Curd,1,Bowl,0,5.3,0,3.9
433,Salad,3,Servings,0,2.2,0,1.5
434,Multigrain Chapati,2,Medium,0,1.2,0,3.1
435,Mix Daal,1,Bowl,0,4.5,0,14.2
436,Tofu,1,Cup,0,0.7,0,10
437,mixed-vegetable curry,1,Bowl,0,2,0,28.3
438,brown rice,1,Bowl,0,0,0,2.3
